vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万基础化工行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801030.SI|申万基础化工Ⅰ|002999.SZ|天禾股份|-|6.61|-0.31|-4.48|-|3980.84|26519.00|3.48|22.98|2.21|14.63|零售业|2020-09-10|
|801030.SI|申万基础化工Ⅰ|002998.SZ|优彩资源|-|7.89|-0.71|-8.26|-|4808.20|39317.30|3.55|28.00|1.78|14.05|化学纤维制造业|2020-10-12|
|801030.SI|申万基础化工Ⅰ|002971.SZ|和远气体|-|37.46|-0.87|-2.27|-|1411.47|52401.35|2.11|78.89|1.21|45.16|化学原料和化学制品制造业|2020-01-20|
|801030.SI|申万基础化工Ⅰ|002942.SZ|新农股份|-|16.92|-0.80|-4.51|-|843.44|14321.61|1.55|26.31|0.47|8.00|化学原料和化学制品制造业|2018-12-12|
|801030.SI|申万基础化工Ⅰ|002917.SZ|金奥博|-|10.18|-0.23|-2.21|-|380.38|3874.10|3.48|35.39|1.76|17.91|化学原料和化学制品制造业|2017-12-15|
|801030.SI|申万基础化工Ⅰ|002915.SZ|中欣氟材|-|17.17|-0.86|-4.77|-|1266.69|21649.62|3.35|57.57|2.14|36.72|化学原料和化学制品制造业|2017-12-12|
|801030.SI|申万基础化工Ⅰ|002909.SZ|集泰股份|-|7.49|-0.83|-9.98|-|3595.25|27350.97|3.90|29.21|2.25|16.82|化学原料和化学制品制造业|2017-11-02|
|801030.SI|申万基础化工Ⅰ|002895.SZ|川恒股份|-|31.88|-1.65|-4.92|-|660.72|21297.12|6.06|193.15|3.11|99.24|化学原料和化学制品制造业|2017-09-01|
|801030.SI|申万基础化工Ⅰ|002886.SZ|沃特股份|-|25.18|-0.83|-3.19|-|5094.84|127280.25|2.63|66.27|1.55|39.14|橡胶和塑料制品业|2017-07-04|
|801030.SI|申万基础化工Ⅰ|002838.SZ|道恩股份|-|24.25|-0.69|-2.77|-|623.82|15005.79|4.78|116.01|2.04|49.50|橡胶和塑料制品业|2017-01-13|
|801030.SI|申万基础化工Ⅰ|002827.SZ|高争民爆|-|58.16|-3.60|-5.83|-|1014.79|59719.18|2.77|161.13|1.04|60.65|化学原料和化学制品制造业|2016-12-16|
|801030.SI|申万基础化工Ⅰ|002825.SZ|纳尔股份|-|9.91|-0.07|-0.70|-|533.19|5213.57|3.42|33.89|1.78|17.63|橡胶和塑料制品业|2017-07-03|
|801030.SI|申万基础化工Ⅰ|002810.SZ|山东赫达|-|20.89|-0.57|-2.66|-|501.45|10511.86|3.48|72.70|2.04|42.65|化学原料和化学制品制造业|2016-09-02|
|801030.SI|申万基础化工Ⅰ|002809.SZ|红墙股份|-|8.40|-0.22|-2.55|-|516.18|4332.60|2.40|20.18|1.37|11.51|化学原料和化学制品制造业|2016-08-30|
|801030.SI|申万基础化工Ⅰ|002802.SZ|洪汇新材|-|11.96|-0.30|-2.45|-|242.64|2894.20|1.81|21.68|0.83|9.90|化学原料和化学制品制造业|2016-07-06|
|801030.SI|申万基础化工Ⅰ|002783.SZ|凯龙股份|-|7.86|-0.18|-2.24|-|1012.10|7927.30|4.99|39.25|3.07|24.16|化学原料和化学制品制造业|2015-12-24|
|801030.SI|申万基础化工Ⅰ|002768.SZ|国恩股份|-|60.94|-0.92|-1.49|-|622.48|37359.44|4.37|266.06|1.62|98.64|橡胶和塑料制品业|2015-07-07|
|801030.SI|申万基础化工Ⅰ|002758.SZ|浙农股份|-|8.83|-0.13|-1.45|-|968.87|8570.81|5.19|45.81|2.88|25.46|批发业|2025-12-03|
|801030.SI|申万基础化工Ⅰ|002753.SZ|永东股份|-|6.74|-0.16|-2.32|-|605.08|4093.75|4.29|28.89|2.48|16.74|化学原料和化学制品制造业|2015-05-26|
|801030.SI|申万基础化工Ⅰ|002749.SZ|国光股份|-|8.64|-0.27|-3.03|-|425.50|3715.64|5.56|48.08|2.17|18.72|化学原料和化学制品制造业|2015-03-27|
|801030.SI|申万基础化工Ⅰ|002748.SZ|世龙实业|-|12.03|-0.35|-2.83|-|446.58|5370.57|2.40|28.87|1.11|13.41|化学原料和化学制品制造业|2015-03-26|
|801030.SI|申万基础化工Ⅰ|002734.SZ|利民股份|-|16.01|-0.93|-5.49|-|2905.20|47084.39|4.72|75.51|3.58|57.34|化学原料和化学制品制造业|2015-02-03|
|801030.SI|申万基础化工Ⅰ|002683.SZ|广东宏大|-|29.06|-0.80|-2.68|-|824.09|23854.92|7.60|220.82|4.11|119.55|开采辅助活动|2012-06-19|
|801030.SI|申万基础化工Ⅰ|002669.SZ|康达新材|-|12.50|0.17|1.38|-|1551.85|19144.78|3.03|37.92|1.95|24.38|化学原料和化学制品制造业|2012-04-23|
|801030.SI|申万基础化工Ⅰ|002666.SZ|德联集团|-|4.14|-0.10|-2.36|-|1039.63|4302.54|7.88|32.62|3.82|15.83|化学原料和化学制品制造业|2012-04-06|
|801030.SI|申万基础化工Ⅰ|002648.SZ|卫星化学|-|27.22|-0.85|-3.03|-|4939.35|136159.39|33.69|916.95|16.60|451.85|化学原料和化学制品制造业|2012-01-06|
|801030.SI|申万基础化工Ⅰ|002637.SZ|赞宇科技|-|11.95|-0.84|-6.57|-|3134.20|37964.09|4.70|56.21|3.03|36.19|化学原料和化学制品制造业|2011-12-02|
|801030.SI|申万基础化工Ⅰ|002632.SZ|道明光学|-|9.59|0.19|2.02|-|4288.00|40310.06|6.25|59.90|2.60|24.96|化学原料和化学制品制造业|2011-11-29|
|801030.SI|申万基础化工Ⅰ|002601.SZ|龙佰集团|-|14.78|-0.67|-4.34|-|2390.57|35331.30|23.84|352.39|14.66|216.63|化学原料和化学制品制造业|2011-07-22|
|801030.SI|申万基础化工Ⅰ|002597.SZ|金禾实业|-|21.15|-1.00|-4.51|-|1060.70|22652.75|5.68|120.20|3.13|66.26|食品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|002591.SZ|恒大高新|-|6.44|-0.13|-1.98|-|2218.20|14277.20|3.00|19.33|1.85|11.93|化学原料和化学制品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|002588.SZ|史丹利|-|7.82|-0.31|-3.81|-|2383.48|18736.37|11.52|90.08|5.46|42.69|化学原料和化学制品制造业|2011-06-17|
|801030.SI|申万基础化工Ⅰ|002585.SZ|双星新材|-|9.96|0.91|10.06|-|10527.35|103971.10|11.41|113.68|6.74|67.17|橡胶和塑料制品业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|002562.SZ|兄弟科技|-|4.87|-0.14|-2.79|-|2567.18|12483.45|11.43|55.66|6.95|33.87|医药制造业|2011-03-17|
|801030.SI|申万基础化工Ⅰ|002549.SZ|凯美特气|-|13.12|-0.35|-2.60|-|1483.06|19337.82|6.95|91.23|3.97|52.05|生态保护和环境治理业|2011-10-10|
|801030.SI|申万基础化工Ⅰ|002545.SZ|东方铁塔|-|16.84|-0.45|-2.60|-|1825.59|30804.42|12.44|209.50|4.93|83.10|化学原料和化学制品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|002539.SZ|云图控股|-|12.34|-0.83|-6.30|-|2251.99|28149.25|12.08|149.03|7.54|93.09|化学原料和化学制品制造业|2011-01-25|
|801030.SI|申万基础化工Ⅰ|002538.SZ|ST司特|-|6.72|-0.19|-2.75|-|1072.92|7208.22|8.54|57.36|5.58|37.49|化学原料和化学制品制造业|2011-01-25|
|801030.SI|申万基础化工Ⅰ|002522.SZ|浙江众成|-|5.16|0.03|0.58|-|2773.98|14191.79|9.06|46.74|6.79|35.02|橡胶和塑料制品业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|002513.SZ|蓝丰生化|-|5.41|-0.19|-3.39|-|850.96|4597.21|3.76|20.32|2.37|12.80|电气机械和器材制造业|2010-12-10|
|801030.SI|申万基础化工Ⅰ|002497.SZ|雅化集团|-|16.80|-0.75|-4.27|-|2824.45|47381.96|11.53|193.63|9.80|164.58|有色金属冶炼和压延加工业|2024-07-31|
|801030.SI|申万基础化工Ⅰ|002496.SZ|辉丰股份|-|2.14|-0.07|-3.17|-|3416.59|7307.97|15.08|32.26|10.73|22.96|化学原料和化学制品制造业|2010-11-16|
|801030.SI|申万基础化工Ⅰ|002470.SZ|金正大|-|2.30|-0.21|-8.37|-|45398.77|107297.96|32.86|75.58|22.27|51.22|化学原料和化学制品制造业|2010-09-15|
|801030.SI|申万基础化工Ⅰ|002455.SZ|百川股份|-|7.10|-0.22|-3.01|-|3117.85|21977.79|7.22|51.29|6.36|45.17|化学原料和化学制品制造业|2010-08-10|
|801030.SI|申万基础化工Ⅰ|002453.SZ|华软科技|-|4.47|-0.08|-1.76|-|775.54|3456.13|8.12|36.31|4.57|20.44|化学原料和化学制品制造业|2010-07-27|
|801030.SI|申万基础化工Ⅰ|002442.SZ|龙星科技|-|5.26|-0.15|-2.77|-|1370.20|7186.94|5.03|26.48|2.97|15.65|化学原料和化学制品制造业|2010-07-13|
|801030.SI|申万基础化工Ⅰ|002440.SZ|闰土股份|-|11.54|-0.74|-6.03|-|4906.91|56205.29|11.24|129.71|6.30|72.71|化学原料和化学制品制造业|2010-07-13|
|801030.SI|申万基础化工Ⅰ|002430.SZ|杭氧股份|-|26.75|-0.40|-1.47|-|1718.28|45507.29|9.78|261.71|3.73|99.76|专用设备制造业|2024-07-31|
|801030.SI|申万基础化工Ⅰ|002427.SZ|尤夫股份|-|4.72|-0.09|-1.87|-|2105.39|9904.39|9.85|46.51|3.98|18.79|化学纤维制造业|2022-12-13|
|801030.SI|申万基础化工Ⅰ|002407.SZ|多氟多|-|31.87|-0.95|-2.89|-|7627.95|241103.19|11.90|379.39|10.20|325.10|化学原料和化学制品制造业|2010-05-25|
|801030.SI|申万基础化工Ⅰ|002395.SZ|双象股份|-|12.65|-0.23|-1.79|-|429.77|5395.51|2.68|33.93|0.95|12.04|橡胶和塑料制品业|2010-04-29|
|801030.SI|申万基础化工Ⅰ|002391.SZ|长青股份|-|5.31|-0.15|-2.75|-|717.26|3800.44|6.50|34.49|4.14|21.96|化学原料和化学制品制造业|2010-04-16|
|801030.SI|申万基础化工Ⅰ|002386.SZ|天原股份|-|5.95|0.03|0.51|-|1796.24|10642.31|13.02|77.45|8.58|51.03|化学原料和化学制品制造业|2010-04-09|
|801030.SI|申万基础化工Ⅰ|002381.SZ|双箭股份|-|5.46|-0.15|-2.67|-|505.59|2760.84|4.12|22.47|2.42|13.20|橡胶和塑料制品业|2010-04-12|
|801030.SI|申万基础化工Ⅰ|002361.SZ|神剑股份|-|10.21|-0.09|-0.87|-|6838.02|69104.50|9.51|97.10|7.35|75.07|化学原料和化学制品制造业|2010-03-10|
|801030.SI|申万基础化工Ⅰ|002360.SZ|ST同德|-|5.61|-0.09|-1.58|-|452.26|2532.95|4.02|22.54|3.09|17.31|化学原料和化学制品制造业|2010-03-10|
|801030.SI|申万基础化工Ⅰ|002326.SZ|永太科技|-|16.96|-0.37|-2.13|-|1778.19|29981.00|9.25|156.90|6.47|109.66|化学原料和化学制品制造业|2009-12-29|
|801030.SI|申万基础化工Ⅰ|002324.SZ|普利特|-|8.90|-0.26|-2.84|-|2809.99|24932.86|11.12|99.00|6.20|55.22|橡胶和塑料制品业|2009-12-18|
|801030.SI|申万基础化工Ⅰ|002319.SZ|乐通股份|-|10.08|-0.23|-2.23|-|756.37|7610.67|2.09|21.11|1.48|14.92|化学原料和化学制品制造业|2009-12-11|
|801030.SI|申万基础化工Ⅰ|002312.SZ|川发龙蟒|-|9.02|-0.38|-4.04|-|6488.24|58975.12|18.88|170.27|10.40|93.77|化学原料和化学制品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|002274.SZ|华昌化工|-|6.22|-0.20|-3.12|-|4506.03|28053.63|9.52|59.24|5.60|34.85|化学原料和化学制品制造业|2008-10-09|
|801030.SI|申万基础化工Ⅰ|002263.SZ|大东南|-|3.20|0.02|0.63|-|5085.55|16134.90|18.78|60.11|13.45|43.05|橡胶和塑料制品业|2016-02-19|
|801030.SI|申万基础化工Ⅰ|002258.SZ|利尔化学|-|15.15|0.18|1.20|-|3366.53|50310.15|8.00|121.27|4.73|71.64|化学原料和化学制品制造业|2008-07-15|
|801030.SI|申万基础化工Ⅰ|002254.SZ|泰和新材|-|12.15|-0.17|-1.38|-|1755.21|21170.00|8.52|103.46|5.37|65.27|化学纤维制造业|2008-07-02|
|801030.SI|申万基础化工Ⅰ|002250.SZ|联化科技|-|14.03|-0.45|-3.11|-|1458.43|20315.58|9.00|126.25|6.61|92.71|化学原料和化学制品制造业|2011-04-26|
|801030.SI|申万基础化工Ⅰ|002246.SZ|北化股份|-|22.33|-0.71|-3.08|-|1816.38|40533.89|5.49|122.60|2.88|64.32|化学原料和化学制品制造业|2008-06-05|
|801030.SI|申万基础化工Ⅰ|002226.SZ|江南化工|-|5.09|0.00|0.00|-|2605.15|13115.32|26.49|134.83|10.43|53.08|化学原料和化学制品制造业|2008-05-06|
|801030.SI|申万基础化工Ⅰ|002224.SZ|三力士|-|3.83|-0.14|-3.53|-|2801.47|10791.06|9.02|34.55|6.53|25.01|橡胶和塑料制品业|2008-04-25|
|801030.SI|申万基础化工Ⅰ|002211.SZ|ST宏达|-|3.83|-0.10|-2.54|-|599.83|2296.89|4.32|16.56|2.69|10.30|化学原料和化学制品制造业|2010-12-09|
|801030.SI|申万基础化工Ⅰ|002206.SZ|海利得|-|5.08|-0.14|-2.68|-|1793.87|9119.96|11.62|59.03|6.88|34.97|化学纤维制造业|2011-04-01|
|801030.SI|申万基础化工Ⅰ|002170.SZ|芭田股份|-|11.40|-0.33|-2.81|-|2777.15|31624.09|9.72|110.79|7.12|81.19|化学原料和化学制品制造业|2007-09-19|
|801030.SI|申万基础化工Ⅰ|002166.SZ|莱茵生物|-|6.85|-0.31|-4.33|-|2000.96|13801.54|7.42|50.80|4.41|30.20|医药制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|002165.SZ|红宝丽|-|7.38|-0.23|-3.02|-|7884.39|57440.50|7.35|54.26|5.61|41.38|化学原料和化学制品制造业|2007-09-13|
|801030.SI|申万基础化工Ⅰ|002145.SZ|钛能化学|-|4.17|-0.10|-2.34|-|4710.99|19627.30|38.07|158.74|23.72|98.93|化学原料和化学制品制造业|2007-08-03|
|801030.SI|申万基础化工Ⅰ|002136.SZ|安纳达|-|11.96|-0.56|-4.47|-|644.55|7694.53|2.15|25.72|1.45|17.36|化学原料和化学制品制造业|2011-03-09|
|801030.SI|申万基础化工Ⅰ|002109.SZ|ST兴化|-|2.83|-0.07|-2.41|-|638.16|1818.68|12.76|36.12|5.08|14.39|化学原料和化学制品制造业|2007-01-26|
|801030.SI|申万基础化工Ⅰ|002108.SZ|沧州明珠|-|4.60|0.10|2.22|-|6782.81|30764.42|16.49|75.84|13.22|60.81|橡胶和塑料制品业|2007-01-24|
|801030.SI|申万基础化工Ⅰ|002096.SZ|易普力|-|9.21|-0.35|-3.66|-|759.88|7024.78|12.40|114.24|4.00|36.88|化学原料和化学制品制造业|2006-12-22|
|801030.SI|申万基础化工Ⅰ|002092.SZ|中泰化学|-|4.68|-0.17|-3.51|-|6030.58|28445.25|25.76|120.54|17.44|81.60|化学原料和化学制品制造业|2006-12-08|
|801030.SI|申万基础化工Ⅰ|002068.SZ|黑猫股份|-|9.68|-0.62|-6.02|-|10744.30|103065.92|7.35|71.18|3.87|37.44|化学原料和化学制品制造业|2011-02-17|
|801030.SI|申万基础化工Ⅰ|002064.SZ|华峰化学|-|10.00|-0.60|-5.66|-|5290.53|53024.59|49.63|496.25|16.74|167.42|化学纤维制造业|2006-08-23|
|801030.SI|申万基础化工Ⅰ|002054.SZ|德美化工|-|7.05|-0.17|-2.35|-|1019.22|7161.75|4.82|33.99|3.44|24.26|化学原料和化学制品制造业|2006-07-25|
|801030.SI|申万基础化工Ⅰ|002037.SZ|保利联合|-|6.92|-0.21|-2.95|-|451.82|3133.82|4.84|33.48|2.41|16.66|化学原料和化学制品制造业|2004-09-08|
|801030.SI|申万基础化工Ⅰ|002001.SZ|新和成|-|26.51|-0.65|-2.39|-|2355.56|62212.60|30.73|814.76|14.77|391.43|医药制造业|2024-08-09|
|801030.SI|申万基础化工Ⅰ|001378.SZ|德冠新材|-|18.93|-0.55|-2.82|-|229.31|4330.44|1.73|32.81|0.84|15.97|橡胶和塑料制品业|2023-11-06|
|801030.SI|申万基础化工Ⅰ|001369.SZ|双欣材料|-|12.03|-0.20|-1.64|-|563.86|6773.11|11.47|137.98|2.07|24.96|化学原料和化学制品制造业|2026-01-08|
|801030.SI|申万基础化工Ⅰ|001359.SZ|平安电工|-|81.89|-1.05|-1.27|-|290.03|23385.06|2.41|197.48|0.60|49.37|非金属矿物制品业|2024-04-08|
|801030.SI|申万基础化工Ⅰ|001358.SZ|兴欣新材|-|22.81|-0.53|-2.27|-|116.98|2662.73|1.23|28.10|0.47|10.70|化学原料和化学制品制造业|2023-12-28|
|801030.SI|申万基础化工Ⅰ|001335.SZ|信凯科技|-|30.37|-1.13|-3.59|-|67.02|2043.96|0.94|28.47|0.26|7.76|批发业|2025-04-22|
|801030.SI|申万基础化工Ⅰ|001333.SZ|光华股份|-|18.94|-0.65|-3.32|-|94.60|1798.39|1.28|24.24|0.44|8.33|化学原料和化学制品制造业|2022-12-15|
|801030.SI|申万基础化工Ⅰ|001325.SZ|元创股份|-|36.78|-1.54|-4.02|-|84.15|3139.96|0.78|28.84|0.20|7.21|橡胶和塑料制品业|2025-12-25|
|801030.SI|申万基础化工Ⅰ|001296.SZ|长江材料|-|19.22|-0.50|-2.54|-|367.86|7057.23|1.50|28.75|0.61|11.74|非金属矿物制品业|2021-12-31|
|801030.SI|申万基础化工Ⅰ|001255.SZ|博菲电气|-|26.12|-0.89|-3.30|-|141.35|3703.78|0.87|22.73|0.35|9.19|化学原料和化学制品制造业|2022-10-14|
|801030.SI|申万基础化工Ⅰ|001231.SZ|农心科技|-|20.51|-0.54|-2.57|-|294.16|6020.61|1.00|20.44|0.33|6.84|化学原料和化学制品制造业|2022-08-26|
|801030.SI|申万基础化工Ⅰ|001218.SZ|丽臣实业|-|22.70|-0.66|-2.83|-|135.38|3081.62|1.34|30.48|0.78|17.80|化学原料和化学制品制造业|2021-10-22|
|801030.SI|申万基础化工Ⅰ|001217.SZ|华尔泰|-|10.22|-0.24|-2.29|-|363.00|3706.87|3.32|33.92|1.19|12.19|化学原料和化学制品制造业|2021-10-13|
|801030.SI|申万基础化工Ⅰ|001207.SZ|联科科技|-|17.00|-0.25|-1.45|-|306.60|5204.40|3.03|51.53|1.52|25.89|化学原料和化学制品制造业|2021-06-30|
|801030.SI|申万基础化工Ⅰ|000990.SZ|诚志股份|-|6.47|-0.22|-3.29|-|4227.18|27360.55|17.01|110.08|8.96|58.00|化学原料和化学制品制造业|2017-07-03|
|801030.SI|申万基础化工Ⅰ|000973.SZ|佛塑科技|-|11.70|-0.13|-1.10|-|2349.13|27342.46|24.58|287.61|7.53|88.10|橡胶和塑料制品业|2000-05-25|
|801030.SI|申万基础化工Ⅰ|000949.SZ|新乡化纤|-|6.33|-0.51|-7.46|-|9159.90|58019.58|16.57|104.88|8.97|56.77|化学纤维制造业|2024-05-30|
|801030.SI|申万基础化工Ⅰ|000936.SZ|华西股份|-|5.44|-0.12|-2.16|-|1615.09|8765.48|8.86|48.20|5.39|29.29|化学纤维制造业|2007-07-02|
|801030.SI|申万基础化工Ⅰ|000920.SZ|沃顿科技|-|11.27|-0.26|-2.26|-|679.59|7620.57|4.73|53.26|2.21|24.87|化学原料和化学制品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|000912.SZ|泸天化|-|4.34|-0.34|-7.27|-|13733.56|60465.91|15.68|68.05|6.44|27.96|化学原料和化学制品制造业|1999-06-03|
|801030.SI|申万基础化工Ⅰ|000902.SZ|新洋丰|-|14.18|-0.22|-1.53|-|1408.89|19906.26|12.55|177.92|5.36|75.98|化学原料和化学制品制造业|2015-06-04|
|801030.SI|申万基础化工Ⅰ|000893.SZ|亚钾国际|-|41.80|-1.42|-3.29|-|1891.66|78774.70|9.24|386.25|4.91|205.23|化学原料和化学制品制造业|2019-07-08|
|801030.SI|申万基础化工Ⅰ|000881.SZ|中广核技|-|6.63|-0.07|-1.04|-|671.47|4448.27|9.45|62.68|5.28|34.99|化学原料和化学制品制造业|2019-07-08|
|801030.SI|申万基础化工Ⅰ|000859.SZ|国风新材|-|8.86|0.24|2.78|-|3850.51|33649.10|8.96|79.38|6.00|53.13|橡胶和塑料制品业|1998-11-19|
|801030.SI|申万基础化工Ⅰ|000830.SZ|鲁西化工|-|12.02|-0.55|-4.38|-|3926.31|47394.47|19.04|228.90|9.68|116.32|化学原料和化学制品制造业|2011-03-14|
|801030.SI|申万基础化工Ⅰ|000822.SZ|山东海化|-|4.44|-0.12|-2.63|-|1427.75|6336.20|8.95|39.74|5.31|23.57|化学原料和化学制品制造业|1998-07-03|
|801030.SI|申万基础化工Ⅰ|000818.SZ|航锦科技|-|11.80|-0.27|-2.24|-|1526.63|17916.69|6.60|77.88|4.80|56.63|化学原料和化学制品制造业|1997-10-17|
|801030.SI|申万基础化工Ⅰ|000792.SZ|盐湖股份|-|25.45|-0.92|-3.49|-|6165.36|156374.74|52.92|1346.71|25.24|642.27|化学原料和化学制品制造业|2021-08-11|
|801030.SI|申万基础化工Ⅰ|000782.SZ|恒申新材|-|7.68|-0.14|-1.79|-|1539.63|11715.50|6.87|52.73|4.63|35.54|化学纤维制造业|1997-06-19|
|801030.SI|申万基础化工Ⅰ|000731.SZ|四川美丰|-|7.44|-0.30|-3.88|-|2182.10|16295.12|5.49|40.83|4.50|33.51|化学原料和化学制品制造业|1997-06-17|
|801030.SI|申万基础化工Ⅰ|000707.SZ|双环科技|-|4.51|-0.14|-3.01|-|1054.92|4754.44|5.85|26.37|4.22|19.05|化学原料和化学制品制造业|1997-04-15|
|801030.SI|申万基础化工Ⅰ|000691.SZ|亚太实业|-|10.00|-0.04|-0.40|-|752.72|7475.51|4.85|48.49|2.70|27.02|化学原料和化学制品制造业|2026-01-06|
|801030.SI|申万基础化工Ⅰ|000683.SZ|博源化工|-|5.91|-0.22|-3.59|-|8990.48|53337.19|37.17|219.66|22.21|131.27|化学原料和化学制品制造业|2015-07-01|
|801030.SI|申万基础化工Ⅰ|000677.SZ|ST海龙|-|1.85|-0.04|-2.12|-|3313.26|6114.94|8.64|15.98|6.23|11.52|纺织业|1996-12-26|
|801030.SI|申万基础化工Ⅰ|000635.SZ|英力特|-|7.28|-0.32|-4.21|-|1813.19|13258.33|3.94|28.69|2.00|14.55|化学原料和化学制品制造业|2007-07-02|
|801030.SI|申万基础化工Ⅰ|000565.SZ|渝三峡A|-|7.13|-0.78|-9.86|-|6918.61|50302.02|4.34|30.92|2.58|18.38|化学原料和化学制品制造业|1994-04-08|
|801030.SI|申万基础化工Ⅰ|000553.SZ|安道麦A|-|5.77|-0.18|-3.03|-|1046.75|6050.54|23.30|134.43|2.84|16.36|化学原料和化学制品制造业|1993-12-03|
|801030.SI|申万基础化工Ⅰ|000545.SZ|金浦钛业|-|2.18|-0.08|-3.54|-|5171.67|11234.07|9.87|21.51|8.13|17.72|化学原料和化学制品制造业|2014-07-02|
|801030.SI|申万基础化工Ⅰ|000525.SZ|红太阳|-|4.71|-0.12|-2.48|-|2664.08|12574.04|13.03|61.37|8.54|40.24|化学原料和化学制品制造业|2024-11-19|
|801030.SI|申万基础化工Ⅰ|000510.SZ|新金路|-|16.19|-0.37|-2.23|-|5259.50|83147.28|6.49|105.00|5.33|86.28|化学原料和化学制品制造业|1993-05-07|
|801030.SI|申万基础化工Ⅰ|000422.SZ|湖北宜化|-|12.18|-0.52|-4.09|-|3352.18|41010.56|10.88|132.47|6.91|84.18|化学原料和化学制品制造业|1996-08-15|
|801030.SI|申万基础化工Ⅰ|000420.SZ|吉林化纤|-|3.55|-0.10|-2.74|-|5640.41|19967.31|24.59|87.29|18.62|66.09|化学纤维制造业|1996-08-02|
|801030.SI|申万基础化工Ⅰ|000408.SZ|藏格矿业|-|72.65|-4.22|-5.49|-|2007.01|145353.13|15.69|1139.82|6.78|492.87|化学原料和化学制品制造业|2026-07-02|",2026-09-13T08:56:53.138222+08:00
